,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
77,"frozenset({'Novelty Gift Division', 'Automotive Division'})",frozenset({'Personal Electronics Division'}),0.05562224889955982,0.4673869547819128,0.04441776710684274,0.7985611510791367,1.7085653395092146,0.018420653575555876,2.6440433316183625
78,"frozenset({'Automotive Division', 'Personal Electronics Division'})",frozenset({'Novelty Gift Division'}),0.08303321328531413,0.22749099639855944,0.04441776710684274,0.5349397590361445,2.3514766188765615,0.025528458682392525,1.6610944896093152
79,"frozenset({'Jewelry Division', 'Automotive Division'})",frozenset({'Personal Electronics Division'}),0.07523009203681473,0.4673869547819128,0.05162064825930372,0.6861702127659575,1.4680987685805889,0.016459084634253857,1.697139872898312
80,"frozenset({'Automotive Division', 'Personal Electronics Division'})",frozenset({'Jewelry Division'}),0.08303321328531413,0.3569427771108443,0.05162064825930372,0.6216867469879518,1.741698633097412,0.021982542516806643,1.6998009394840738
81,"frozenset({'Novelty Gift Division', 'Automotive Division'})",frozenset({'Garden Division'}),0.05562224889955982,0.272108843537415,0.044017607042817125,0.7913669064748201,2.9082733812949635,0.02888230121980765,3.4888576120103205
82,"frozenset({'Automotive Division', 'Garden Division'})",frozenset({'Novelty Gift Division'}),0.08543417366946779,0.22749099639855944,0.044017607042817125,0.5152224824355972,2.2648038409965827,0.024582101748262326,1.5935330654000732
83,"frozenset({'Jewelry Division', 'Automotive Division'})",frozenset({'Garden Division'}),0.07523009203681473,0.272108843537415,0.048619447779111646,0.6462765957446809,2.375066489361702,0.028148674435760697,2.0577975551122702
84,"frozenset({'Automotive Division', 'Garden Division'})",frozenset({'Jewelry Division'}),0.08543417366946779,0.3569427771108443,0.048619447779111646,0.5690866510538641,1.5943358082775858,0.01812433656936164,1.4923121422482035
85,"frozenset({'Novelty Gift Division', 'Garden Division'})",frozenset({'Personal Electronics Division'}),0.11224489795918367,0.4673869547819128,0.08723489395758303,0.7771836007130125,1.662826899128269,0.03477309291063364,2.3903673469387763
86,"frozenset({'Novelty Gift Division', 'Personal Electronics Division'})",frozenset({'Garden Division'}),0.16906762705082032,0.272108843537415,0.08723489395758303,0.5159763313609468,1.8962130177514793,0.04123009748116934,1.5038338073615753
87,"frozenset({'Garden Division', 'Personal Electronics Division'})",frozenset({'Novelty Gift Division'}),0.16326530612244897,0.22749099639855944,0.08723489395758303,0.5343137254901962,2.348724714160071,0.050093506790471296,1.6588614393125676
88,"frozenset({'Jewelry Division', 'Garden Division'})",frozenset({'Personal Electronics Division'}),0.12725090036014405,0.4673869547819128,0.08783513405362145,0.690251572327044,1.4768310609976738,0.02835972324103711,1.7195020140035713
89,"frozenset({'Garden Division', 'Personal Electronics Division'})",frozenset({'Jewelry Division'}),0.16326530612244897,0.3569427771108443,0.08783513405362145,0.5379901960784315,1.5072169282511214,0.029558762280422382,1.3918692145293134
90,"frozenset({'Jewelry Division', 'Novelty Gift Division'})",frozenset({'Personal Electronics Division'}),0.10724289715886355,0.4673869547819128,0.0858343337334934,0.8003731343283582,1.7124421769576774,0.03571040260842232,2.6680429181018206
91,"frozenset({'Novelty Gift Division', 'Personal Electronics Division'})",frozenset({'Jewelry Division'}),0.16906762705082032,0.3569427771108443,0.0858343337334934,0.5076923076923078,1.4223352880303557,0.02548686541443309,1.3062099839935977
92,"frozenset({'Jewelry Division', 'Novelty Gift Division'})",frozenset({'Garden Division'}),0.10724289715886355,0.272108843537415,0.06302521008403361,0.5876865671641791,2.159748134328358,0.033843469360533326,1.7653830763074458
93,"frozenset({'Novelty Gift Division', 'Garden Division'})",frozenset({'Jewelry Division'}),0.11224489795918367,0.3569427771108443,0.06302521008403361,0.5614973262032086,1.5730737871993479,0.02296020448995925,1.466484154637465
